OBJECTID,ID,DIR,LENGTH,LINKID,COUNTRY,JURISCODE,JURISNAME,ROADNUM,ROADNAME,ADMIN,SURFACE,LANES,SPEEDLIM,CLASS,NHS,BORDER,Shape__Length
126947,541976,0,0.32,02_6756462,2,02_41,Oregon,S213,S CASCADE HWY,State,Paved,2,56,3,10,0,0.00298131240211612
125951,541020,0,1.05,02_6694417,2,02_41,Oregon,S99W,W PACIFIC HWY,State,Paved,2,88,3,7,0,0.0111174661642047
123366,541228,0,3.35,02_6706850,2,02_41,Oregon, ,COLUMBIA BLVD,Municipal,Paved,4,40,3,8,0,0.0386068413097106
123295,542026,0,0.91,02_6758595,2,02_41,Oregon,S99E,MCLOUGHLIN BLVD,State,Paved,4,64,3,10,0,0.00908363341053752
127611,542659,0,0.12,02_6774110,2,02_41,Oregon, ,39TH AV,Municipal,Paved,2,72,3,10,0,0.00107955798274183
127872,542557,0,0.07,02_6771063,2,02_41,Oregon, , ,Municipal,Paved,2,40,3,10,0,0.000846005709400709
127279,543074,0,0.01,02_6788079,2,02_41,Oregon, ,AIRPORT WY,Municipal,Paved,2,40,3,8,0,0.000161941458724347
126876,543557,0,0.19,02_6809361,2,02_53,Washington, ,C ST,Municipal,Paved,2,80,3,0,0,0.00177223463205954
126615,543816,0,0.4,02_6816363,2,02_53,Washington, ,NE ANDERSEN AV,Municipal,Paved,4,56,3,10,0,0.00363017368479025
122963,541420,0,0.11,02_6705332,2,02_41,Oregon, ,EVERETT ST,Municipal,Paved,2,72,4,8,0,0.00145433397944575
126283,541364,0,0.25,02_6705942,2,02_41,Oregon,I405,STADIUM EXWY,State,Paved,6,104,1,1,0,0.00229583348841157
127208,542815,0,0.07,02_6778816,2,02_41,Oregon, ,DIVISION ST,Municipal,Paved,4,40,5,0,0,0.000865332415555334
127540,542689,0,0.01,02_6774459,2,02_41,Oregon, ,KILLINGSWORTH ST,Municipal,Paved,2,64,4,0,0,0.000116018657467164
128536,543608,0,0.36,02_6810675,2,02_53,Washington,S14,LEWIS AND CLARK HWY,State,Paved,4,96,2,7,0,0.00456887507215597
